year,month,wind speed 2m,wind direction 2m,wind speed 10m,wind direction 10m
2013,1,1.41,256,3,254
2013,2,1.58,305.1,3.22,304.8
2013,3,1.67,289.5,3.48,289.4
2013,4,1.41,128.7,2.98,129.5
2013,5,1.31,189.9,2.75,194.6
2013,6,1.09,218.8,2.29,214.8
2013,7,0.96,164.8,2,166.8
2013,8,0.95,77.3,1.99,77.2
2013,9,1.04,75,2.2,75.4
2013,10,1.03,359.8,2.21,14.7
2013,11,1.39,34.9,2.98,36.1
2013,12,1.38,268.6,2.96,267.7
2014,1,1.55,292.5,3.26,288.4
2014,2,1.52,306.6,3.18,303.7
2014,3,1.54,296.7,3.2,291
2014,4,1.53,218.9,3.25,221.3
2014,5,1.09,241.3,2.37,238.6
2014,6,0.9,265.4,1.9,262.3
2014,7,1.03,271.9,2.11,267.9
2014,8,0.94,343.4,1.89,342.3
2014,9,0.98,66.7,1.95,65.9
2014,10,1.24,260.6,2.63,262.5
2014,11,1.46,295.2,3.13,294.4
2014,12,1.24,332.9,2.67,333.3
2015,1,1.43,311.7,3.04,311.9
2015,2,1.68,306.2,3.42,305.6
2015,3,1.44,306,2.97,302.6
2015,4,1.36,224.9,2.86,223.1
2015,5,1.04,147.8,2.21,146.8
2015,6,0.88,253.9,1.83,249.5
2015,7,1,286.6,2.04,284.7
2015,8,1.08,69.3,2.17,76.1
2015,9,1.03,54.8,2.16,53.7
2015,10,1.19,49.1,2.54,48.3
2015,11,1.3,81.7,2.82,80.2
2015,12,1.28,181.2,2.8,178.5
2016,1,1.47,309.5,3.09,307.5
2016,2,1.71,269.4,3.56,268.8
2016,3,1.46,229,3.12,225.9
2016,4,1.41,222.3,2.97,211.5
2016,5,1.21,294.3,2.54,291.5
2016,6,1.05,277.5,2.13,271.9
2016,7,0.99,244.4,1.96,242.4
2016,8,1.05,130.7,2.09,130.8
2016,9,0.99,92.9,2.03,96.9
2016,10,1.19,44.5,2.51,47.1
2016,11,1.29,318.4,2.81,326.8
2016,12,1.39,321.7,2.93,321.5
2017,1,1.53,254.4,3.23,250.1
2017,2,1.41,260.9,3.02,256
2017,3,1.57,274.4,3.31,272.5
2017,4,1.33,206.9,2.83,206.1
2017,5,1.29,246.7,2.71,246.6
2017,6,0.96,196.2,1.98,193.1
2017,7,0.88,267.5,1.8,258.9
2017,8,0.99,103.5,1.97,90.2
2017,9,1.21,42.2,2.5,40.5
2017,10,1.38,116.4,2.91,111.3
2017,11,1.12,86.8,2.44,47.3
2017,12,1.25,297.5,2.71,294.9
2018,1,1.56,330.1,3.28,333.3
2018,2,1.45,190.9,3.02,186.7
2018,3,1.71,281.6,3.55,279.8
2018,4,1.54,264.2,3.23,260.1
2018,5,1.08,143.1,2.27,146.2
2018,6,0.94,285.6,1.96,283
2018,7,0.91,62,1.86,59.2
2018,8,0.92,224.2,1.91,221.7
2018,9,1.01,110.2,2.09,108.9
2018,10,1.3,41.2,2.72,42.3
2018,11,1.37,348.6,2.86,348.5
2018,12,1.33,312.4,2.87,304.6
2019,1,1.54,291.5,3.18,291.6
2019,2,1.48,187.4,3.02,189.7
2019,3,1.45,296.9,3.09,296.2
2019,4,1.41,206.3,2.97,205.5
2019,5,1.08,239.5,2.31,239.5
2019,6,1.15,229.2,2.38,228.5
2019,7,0.96,258.2,1.95,257
2019,8,0.93,51.9,1.89,54.9
2019,9,1.06,51.4,2.15,53.1
2019,10,1.34,84.9,2.69,82.5
2019,11,1.2,316.6,2.63,320.5
2019,12,1.54,26.5,3.3,30.2
2020,1,1.49,294.4,3.12,288.2
2020,2,1.54,253.2,3.14,252.9
2020,3,1.35,233.2,2.88,230.6
2020,4,1.55,285.3,3.22,284.1
2020,5,1.22,247.4,2.6,241.3
2020,6,1.13,236.9,2.33,232.4
2020,7,0.91,233.5,1.85,233.5
2020,8,0.87,187.4,1.75,185.5
2020,9,1.31,69.3,2.7,68.2
2020,10,1.22,90.9,2.64,85.8
2020,11,1.35,29.4,2.94,31.4
2020,12,1.36,289.8,2.93,288.7
2021,1,1.4,287.7,2.96,286.5
2021,2,1.58,323.8,3.23,321.9
2021,3,1.45,130.5,3.05,130.2
2021,4,1.33,277.4,2.86,276.2
2021,5,1.25,218.1,2.65,210.6
2021,6,1.14,172.1,2.37,173.3
2021,7,0.87,234,1.8,232.4
2021,8,0.94,127.3,1.94,132.7
2021,9,0.97,33.5,2,38.7
2021,10,1.15,211.1,2.44,203.5
2021,11,1.19,318.5,2.68,319
2021,12,1.21,220.2,2.7,218.9
2022,1,1.59,299,3.32,298.4
2022,2,1.56,272.8,3.22,265
2022,3,1.61,235.8,3.38,237.4
2022,4,1.39,226.5,2.99,223.3
2022,5,1.23,192.4,2.57,191.5
2022,6,1.05,1.5,2.15,8.8
2022,7,0.92,230.5,1.86,226
2022,8,0.86,206.9,1.76,204.6
2022,9,1.24,36.5,2.59,36.1
2022,10,1.27,336.3,2.69,339.4
2022,11,1.39,31.2,3,31.8
2022,12,1.3,232.8,2.82,238.3
2023,1,1.43,255.9,3.04,255.1
2023,2,1.51,253.6,3.17,247.3
2023,3,1.38,258.5,2.92,253.6
2023,4,1.39,227.4,2.91,225.9
2023,5,1.27,54.2,2.66,50.1
2023,6,1.13,302.9,2.35,302.9
2023,7,0.96,297.5,1.96,295
2023,8,1.03,304.7,2.1,305.3
2023,9,0.94,61,1.97,66.3
2023,10,1.31,333.1,2.8,341.8
2023,11,1.26,25.8,2.76,21.7
2023,12,1.34,299.6,2.94,303.7
